,ETF,Date,returns
131.0,EWY,42872.0,1.18717542796392
132.0,EWY,42873.0,1.188264358705333
133.0,EWY,42874.0,1.21185896523756
134.0,EWY,42877.0,1.217303945640182
135.0,EWY,42878.0,1.212403566731415
136.0,EWY,42879.0,1.220026426766617
137.0,EWY,42880.0,1.232731199541871
138.0,EWY,42881.0,1.24216914379338
139.0,EWY,42885.0,1.224745398892371
140.0,EWY,42886.0,1.229101303355555
141.0,EWY,42887.0,1.229464243969853
142.0,EWY,42888.0,1.246162125792019
143.0,EWY,42891.0,1.243258092684546
144.0,EWY,42892.0,1.243258092684546
145.0,EWY,42893.0,1.23091626052359
146.0,EWY,42894.0,1.239446662666945
147.0,EWY,42895.0,1.233094267204441
148.0,EWY,42898.0,1.220207960597902
149.0,EWY,42899.0,1.236724163390757
150.0,EWY,42900.0,1.243802567130129
151.0,EWY,42901.0,1.223293400488388
152.0,EWY,42902.0,1.220933841826498
153.0,EWY,42905.0,1.228193761247402
154.0,EWY,42906.0,1.213855438087126
155.0,EWY,42907.0,1.213129429810258
156.0,EWY,42908.0,1.224200797398516
157.0,EWY,42909.0,1.234909224372476
158.0,EWY,42912.0,1.241080067853941
159.0,EWY,42913.0,1.229464243969853
160.0,EWY,42914.0,1.237087249203081
161.0,EWY,42915.0,1.222204306399196
162.0,EWY,42916.0,1.230734726692305
163.0,EWY,42919.0,1.230553319909292
164.0,EWY,42921.0,1.221659850103366
165.0,EWY,42922.0,1.207866128436946
166.0,EWY,42923.0,1.215125920809577
167.0,EWY,42926.0,1.22311184850735
168.0,EWY,42927.0,1.225289873337954
169.0,EWY,42928.0,1.246887988870861
170.0,EWY,42929.0,1.254329460272804
171.0,EWY,42930.0,1.278287116317848
172.0,EWY,42933.0,1.270845663065659
173.0,EWY,42934.0,1.278831590763431
174.0,EWY,42935.0,1.2833690290579
175.0,EWY,42936.0,1.287724933521084
176.0,EWY,42937.0,1.296981343941307
177.0,EWY,42940.0,1.300429851494364
178.0,EWY,42941.0,1.291899431201255
179.0,EWY,42942.0,1.298977834940627
180.0,EWY,42943.0,1.288450941797952
181.0,EWY,42944.0,1.263948793157572
182.0,EWY,42947.0,1.265037742048738
183.0,EWY,42948.0,1.27502016074583
184.0,EWY,42949.0,1.272660747281965
185.0,EWY,42950.0,1.246525048256564
186.0,EWY,42951.0,1.255599924845502
187.0,EWY,42954.0,1.259592906844141
188.0,EWY,42955.0,1.248884479870181
189.0,EWY,42956.0,1.224563865061086
190.0,EWY,42957.0,1.194435220336551
191.0,EWY,42958.0,1.198246650354152
192.0,EWY,42961.0,1.221478443320354
193.0,EWY,42962.0,1.227286364337274
194.0,EWY,42963.0,1.228375295078687
195.0,EWY,42964.0,1.21185896523756
196.0,EWY,42965.0,1.224200797398516
197.0,EWY,42968.0,1.224019390615503
198.0,EWY,42969.0,1.243439626515831
199.0,EWY,42970.0,1.240898679220681
200.0,EWY,42971.0,1.249610469997296
201.0,EWY,42972.0,1.257777949676107
202.0,EWY,42975.0,1.254147908291765
203.0,EWY,42976.0,1.243802567130129
204.0,EWY,42977.0,1.24561750614841
205.0,EWY,42978.0,1.242713618238963
206.0,EWY,42979.0,1.246162125792019
207.0,EWY,42983.0,1.211133084008964
208.0,EWY,42984.0,1.215125920809577
209.0,EWY,42985.0,1.23091626052359
210.0,EWY,42986.0,1.222385840230481
211.0,EWY,42989.0,1.242532084407677
212.0,EWY,42990.0,1.239809603281243
213.0,EWY,42991.0,1.232912733373156
214.0,EWY,42992.0,1.239809603281243
215.0,EWY,42993.0,1.247432590364717
216.0,EWY,42996.0,1.267578689343888
217.0,EWY,42997.0,1.271753205173812
218.0,EWY,42998.0,1.265037742048738
219.0,EWY,42999.0,1.264856335265726
220.0,EWY,43000.0,1.25832242412169
221.0,EWY,43003.0,1.250154944442879
222.0,EWY,43004.0,1.246887988870861
223.0,EWY,43005.0,1.236905715371795
224.0,EWY,43006.0,1.235272164986774
225.0,EWY,43007.0,1.25342191816465
226.0,EWY,43010.0,1.25632593312237
227.0,EWY,43011.0,1.268304697620756
228.0,EWY,43012.0,1.269938248005777
229.0,EWY,43013.0,1.279557599040299
230.0,EWY,43014.0,1.274657220131532
231.0,EWY,43017.0,1.273749678023379
232.0,EWY,43018.0,1.289902958351689
233.0,EWY,43019.0,1.302789264958228
234.0,EWY,43020.0,1.310593658824715
235.0,EWY,43021.0,1.322027948877518
236.0,EWY,43024.0,1.313316158100903
237.0,EWY,43025.0,1.313134606119864
238.0,EWY,43026.0,1.31622004601035
239.0,EWY,43027.0,1.307326703252697
240.0,EWY,43028.0,1.317309121949789
241.0,EWY,43031.0,1.313316158100903
242.0,EWY,43032.0,1.319850069244938
243.0,EWY,43033.0,1.319305594799355
244.0,EWY,43034.0,1.313134606119864
245.0,EWY,43035.0,1.334369799188227
246.0,EWY,43038.0,1.327291395448855
247.0,EWY,43039.0,1.35687558387756
248.0,EWY,43040.0,1.383555739198791
249.0,EWY,43041.0,1.377021828054756
250.0,EWY,43042.0,1.375569811501019
251.0,EWY,43045.0,1.377021828054756
252.0,FBGX,42681.0,1.0
253.0,FBGX,42682.0,1.0101783075069
254.0,FBGX,42683.0,1.024043671595527
255.0,FBGX,42684.0,1.01514825707511
256.0,FBGX,42685.0,1.013135705115609
257.0,FBGX,42688.0,1.004993155899156
258.0,FBGX,42689.0,1.020279721477631
259.0,FBGX,42690.0,1.026194524376722
260.0,FBGX,42691.0,1.042940630669722
261.0,FBGX,42692.0,1.035643065367195
262.0,FBGX,42695.0,1.048701884628308
263.0,FBGX,42696.0,1.055769007454164
264.0,FBGX,42697.0,1.055146730573261
265.0,FBGX,42699.0,1.06076204812824
266.0,FBGX,42702.0,1.053618154672969
267.0,FBGX,42703.0,1.062129454869459
268.0,FBGX,42704.0,1.045168269443677
269.0,FBGX,42705.0,1.016746106293
270.0,FBGX,42706.0,1.022891466893842
271.0,FBGX,42709.0,1.035796614307699
272.0,FBGX,42710.0,1.040098335233433
273.0,FBGX,42711.0,1.066600195622994
274.0,FBGX,42712.0,1.072514998522085
275.0,FBGX,42713.0,1.081195326228048
276.0,FBGX,42716.0,1.075741285375549
277.0,FBGX,42717.0,1.096405005952028
278.0,FBGX,42718.0,1.082040317823646
279.0,FBGX,42719.0,1.086956580186634
280.0,FBGX,42720.0,1.083192522525332
281.0,FBGX,42723.0,1.088615844371723
282.0,FBGX,42724.0,1.093793260535818
283.0,FBGX,42725.0,1.091949620860711
284.0,FBGX,42726.0,1.083038965903155
285.0,FBGX,42727.0,1.087417465139978
286.0,FBGX,42731.0,1.094791916297
287.0,FBGX,42732.0,1.077969039374584
288.0,FBGX,42733.0,1.077277711944569
289.0,FBGX,42734.0,1.064103560060877
290.0,FBGX,42738.0,1.08065755542021
291.0,FBGX,42739.0,1.098947708500799
292.0,FBGX,42740.0,1.10178215326836
293.0,FBGX,42741.0,1.116146956621821
294.0,FBGX,42744.0,1.115071530231224
295.0,FBGX,42745.0,1.116561774588511
296.0,FBGX,42746.0,1.114495427880381
297.0,FBGX,42747.0,1.11473348289395
298.0,FBGX,42748.0,1.122445866163167
299.0,FBGX,42752.0,1.113151112245028
300.0,FBGX,42753.0,1.118912366203615
301.0,FBGX,42754.0,1.116223734932909
302.0,FBGX,42755.0,1.116915054681252
303.0,FBGX,42758.0,1.119211959091133
304.0,FBGX,42759.0,1.133046611855326
305.0,FBGX,42760.0,1.147741604195662
306.0,FBGX,42761.0,1.145490881997512
307.0,FBGX,42762.0,1.145544684427814
308.0,FBGX,42765.0,1.135274242947609
309.0,FBGX,42766.0,1.132432062736399
310.0,FBGX,42767.0,1.138884644125
311.0,FBGX,42768.0,1.137586503019707
312.0,FBGX,42769.0,1.151866685075025
313.0,FBGX,42772.0,1.146105431116439
314.0,FBGX,42773.0,1.152934498928726
315.0,FBGX,42774.0,1.159448487602853
316.0,FBGX,42775.0,1.172146291327578
317.0,FBGX,42776.0,1.178214881299003
318.0,FBGX,42779.0,1.18781697122998
319.0,FBGX,42780.0,1.194039102460237
320.0,FBGX,42781.0,1.210016995468728
321.0,FBGX,42782.0,1.205231306165457
322.0,FBGX,42783.0,1.209863331303144
323.0,FBGX,42787.0,1.222538043922003
324.0,FBGX,42788.0,1.223383035517601
325.0,FBGX,42789.0,1.219619085399705
326.0,FBGX,42790.0,1.225841224311635
327.0,FBGX,42793.0,1.231064707462383
328.0,FBGX,42794.0,1.220617625935807
329.0,FBGX,42795.0,1.253725731879552
330.0,FBGX,42796.0,1.237517396394391
331.0,FBGX,42797.0,1.241050904035615
332.0,FBGX,42800.0,1.236365076467626
333.0,FBGX,42801.0,1.225764446000546
334.0,FBGX,42802.0,1.233522896256416
335.0,FBGX,42803.0,1.231387391455767
336.0,FBGX,42804.0,1.239921667533044
337.0,FBGX,42807.0,1.243355428664065
338.0,FBGX,42808.0,1.235135978229773
339.0,FBGX,42809.0,1.258795543183045
340.0,FBGX,42810.0,1.249869425019865
341.0,FBGX,42811.0,1.253579680250866
342.0,FBGX,42814.0,1.250499322119337
343.0,FBGX,42815.0,1.222922150564258
344.0,FBGX,42816.0,1.230296609402952
345.0,FBGX,42817.0,1.229067511165099
346.0,FBGX,42818.0,1.220233634518632
347.0,FBGX,42821.0,1.228299297880589
348.0,FBGX,42822.0,1.241511781307286
349.0,FBGX,42823.0,1.245659953292516
350.0,FBGX,42824.0,1.249500789264907
351.0,FBGX,42825.0,1.251421207251102
352.0,FBGX,42828.0,1.241911243611759
353.0,FBGX,42829.0,1.239898699333929
354.0,FBGX,42830.0,1.23805505197715
355.0,FBGX,42831.0,1.237909123255215
356.0,FBGX,42832.0,1.244200412577991
357.0,FBGX,42835.0,1.240059983718082
358.0,FBGX,42836.0,1.232063355541892
359.0,FBGX,42837.0,1.227147093178903
360.0,FBGX,42838.0,1.232601134031402
361.0,FBGX,42842.0,1.236979625586552
362.0,FBGX,42843.0,1.23532808916344
363.0,FBGX,42844.0,1.232754682971906
364.0,FBGX,42845.0,1.258411551765869
365.0,FBGX,42846.0,1.251805313893357
366.0,FBGX,42849.0,1.275618427787133
367.0,FBGX,42850.0,1.293363066934563
368.0,FBGX,42851.0,1.292748517815637
369.0,FBGX,42852.0,1.302803872481388
370.0,FBGX,42853.0,1.301659287998272
371.0,FBGX,42856.0,1.314180451676626
372.0,FBGX,42857.0,1.314257222306042
373.0,FBGX,42858.0,1.306268337255173
374.0,FBGX,42859.0,1.312951353438773
375.0,FBGX,42860.0,1.318789385708448
376.0,FBGX,42863.0,1.321862123621408
377.0,FBGX,42864.0,1.325856623759382
378.0,FBGX,42865.0,1.327085606772156
379.0,FBGX,42866.0,1.322323000893079
380.0,FBGX,42867.0,1.324550639667034
381.0,FBGX,42870.0,1.333077295525742
382.0,FBGX,42871.0,1.333461402167997
383.0,FBGX,42872.0,1.294438501006833
384.0,FBGX,42873.0,1.300891189938841
385.0,FBGX,42874.0,1.312336804319846
386.0,FBGX,42877.0,1.329858744115926
387.0,FBGX,42878.0,1.331502660320469
388.0,FBGX,42879.0,1.342372172350631
389.0,FBGX,42880.0,1.362943643728726
390.0,FBGX,42881.0,1.362283027623146
391.0,FBGX,42885.0,1.362190901331513
392.0,FBGX,42886.0,1.363803983304869
393.0,FBGX,42887.0,1.379781876313359
394.0,FBGX,42888.0,1.402135572399362
395.0,FBGX,42891.0,1.401905129922691
396.0,FBGX,42892.0,1.392303039991714
397.0,FBGX,42893.0,1.391995826885626
398.0,FBGX,42894.0,1.395237469401308
399.0,FBGX,42895.0,1.36994934390571
400.0,FBGX,42898.0,1.355653813869847
401.0,FBGX,42899.0,1.377170138578822
402.0,FBGX,42900.0,1.365417188184977
403.0,FBGX,42901.0,1.370410228859054
404.0,FBGX,42902.0,1.36434176179438
405.0,FBGX,42905.0,1.395298884368507
406.0,FBGX,42906.0,1.381740741067639
407.0,FBGX,42907.0,1.386165414834521
408.0,FBGX,42908.0,1.389046041813814
409.0,FBGX,42909.0,1.395990211798521
410.0,FBGX,42912.0,1.393148031587312
411.0,FBGX,42913.0,1.365033081542722
412.0,FBGX,42914.0,1.387332975198424
413.0,FBGX,42915.0,1.355354213300657
414.0,FBGX,42916.0,1.36610850793332
415.0,FBGX,42919.0,1.355607746883194
416.0,FBGX,42921.0,1.361345909735915
417.0,FBGX,42922.0,1.335996369273119
418.0,FBGX,42923.0,1.360577696451405
419.0,FBGX,42926.0,1.369718909110711
420.0,FBGX,42927.0,1.366077804290556
421.0,FBGX,42928.0,1.40036881857875
422.0,FBGX,42929.0,1.402196987366561
423.0,FBGX,42930.0,1.42203107200966
424.0,FBGX,42933.0,1.41842067851394
425.0,FBGX,42934.0,1.424105154161439
426.0,FBGX,42935.0,1.439238063256003
427.0,FBGX,42936.0,1.442833101089505
428.0,FBGX,42937.0,1.439860224911826
429.0,FBGX,42940.0,1.441465694348286
430.0,FBGX,42941.0,1.444845645367334
431.0,FBGX,42942.0,1.448916923816396
432.0,FBGX,42943.0,1.433400030986328
433.0,FBGX,42944.0,1.435320448972524
434.0,FBGX,42947.0,1.428076570875219
435.0,FBGX,42948.0,1.42948230147777
436.0,FBGX,42949.0,1.430711399715623
437.0,FBGX,42950.0,1.430020079967281
438.0,FBGX,42951.0,1.433246366820745
439.0,FBGX,42954.0,1.443539776500065
440.0,FBGX,42955.0,1.436703096150881
441.0,FBGX,42956.0,1.428176432610501
442.0,FBGX,42957.0,1.391227613601116
443.0,FBGX,42958.0,1.406206850848425
444.0,FBGX,42961.0,1.438316293349317
445.0,FBGX,42962.0,1.437317645269808
446.0,FBGX,42963.0,1.447150169995784
447.0,FBGX,42964.0,1.405361859252827
448.0,FBGX,42965.0,1.404240365875577
449.0,FBGX,42968.0,1.396143875964104
450.0,FBGX,42969.0,1.436472653674209
451.0,FBGX,42970.0,1.421001704924043
452.0,FBGX,42971.0,1.416961260706167
453.0,FBGX,42972.0,1.418389967189505
454.0,FBGX,42975.0,1.422338408022499
455.0,FBGX,42976.0,1.422338408022499
456.0,FBGX,42977.0,1.450837341802592
457.0,FBGX,42978.0,1.472576488769668
458.0,FBGX,42979.0,1.475418784205957
459.0,FBGX,42983.0,1.45475507131115
460.0,FBGX,42984.0,1.460285882793065
461.0,FBGX,42985.0,1.471808390710238
462.0,FBGX,42986.0,1.464126718765456
463.0,FBGX,42989.0,1.488938488420414
464.0,FBGX,42990.0,1.489245701526501
465.0,FBGX,42991.0,1.490628463929937
466.0,FBGX,42992.0,1.486787627957546
467.0,FBGX,42993.0,1.492241553584966
468.0,FBGX,42996.0,1.495775168769597
469.0,FBGX,42997.0,1.496159275411852
470.0,FBGX,42998.0,1.494853406544583
471.0,FBGX,42999.0,1.494853406544583
472.0,FBGX,43000.0,1.484790316435184
473.0,FBGX,43003.0,1.463104971898408
474.0,FBGX,43004.0,1.469811079187875
475.0,FBGX,43005.0,1.490474799764354
476.0,FBGX,43006.0,1.488170275135904
477.0,FBGX,43007.0,1.506375914461756
478.0,FBGX,43010.0,1.511368955135833
479.0,FBGX,43011.0,1.519357840186702
480.0,FBGX,43012.0,1.522661020576334
481.0,FBGX,43013.0,1.542172421226048
482.0,FBGX,43014.0,1.545398708079513
483.0,FBGX,43017.0,1.541173880689946
484.0,FBGX,43018.0,1.545152909940624
485.0,FBGX,43019.0,1.557228544327852
486.0,FBGX,43020.0,1.563604347405365
487.0,FBGX,43021.0,1.564887125166768
488.0,FBGX,43024.0,1.568213281437187
489.0,FBGX,43025.0,1.571516461826819
490.0,FBGX,43026.0,1.578583584652674
491.0,FBGX,43027.0,1.573475326581098
492.0,FBGX,43028.0,1.587033469881966
493.0,FBGX,43031.0,1.573436879813014
494.0,FBGX,43032.0,1.575664510905297
